municipio_ine	localidad	codigo_postal
02084	VILLAVERDE DE GUADALIMAR	02460
02028	COTILLAS	02461
02028	ARROYOFRIO	02462
02084	CAMPILLO	02462
02067	UMBRIA ANGULO	02462
02086	YESTE	02480
02086	ARGUELLITE	02484
02086	TUS	02485
02030	HORNO CIEGO	02486
02030	PEÑARRUBIA	02486
02086	RALA	02486
02086	JUAN QUILEZ	02487
02086	SEGE	02487
02086	ALCANTARILLA	02489
02086	GONTAR	02489
02086	PAROLIS	02489
02086	PAULES	02489
02037	AGRAMON	02490
02037	CANCARIX	02499
02037	HORCA, LA	02499
02037	MINAS, LAS	02499
02037	MINATEDA	02499
02074	TOBARRA	02500
02029	POZO BUENO	02510
02901	POZO CAÑADA	02510
02003	ABUZADERAS, LAS	02511
02003	CAMPILLO DE LAS DOBLAS	02511
02074	ALJUBE	02512
02061	ANORIAS, LAS	02512
02029	CASA BLANCA DE LOS RIOTEROS	02512
02003	CASA DE LAS MONJAS	02512
02074	MARDOS, LOS	02512
02029	PINILLA	02512
02074	CORDOVILLA	02513
02074	MORA DE SANTA QUITERIA	02513
02074	SANTIAGO DE MORA	02513
02074	SIERRA	02513
02029	CHINCHILLA DE MONTE ARAGON	02520
02055	NERPIO	02530
02055	CAÑADAS	02534
02055	JUTIA	02534
02055	PEDRO ANDRÉS	02534
02055	BEG	02536
02055	CASA DE LA CABEZA	02536
02055	CHORRETITES DE ABAJO	02536
02055	CORTIJOS DEL HERRERO	02536
02055	YETAS DE ABAJO	02536
02081	VILLARROBLEDO	02600
02019	BONILLO, EL	02610
02057	OSSA DE MONTIEL	02611
02053	MUNERA	02612
02014	BALLESTERO, EL	02614
02048	MINAYA	02620
02069	RODA, LA	02630
02078	VILLALGORDO DEL JUCAR	02636
02032	FUENSANTA	02637
02050	MONTALVOS	02638
02015	BARRAX	02639
02069	SANTA MARTA	02639
02009	ALMANSA	02640
02051	MONTEALEGRE DEL CASTILLO	02650
02033	FUENTE-ALAMO	02651
02056	ONTUR	02652
02004	ALBATANA	02653
02025	CAUDETE	02660
02010	ALPERA	02690
02018	BONETE	02691
02029	HORNA	02691
02061	PETROLA	02692
02027	CORRAL RUBIO	02693
02027	HIGUERA, LA	02693
02039	HIGUERUELA	02694
02029	VILLAR DE CHINCHILLA	02695
02040	HOYA GONZALO	02696
03014	ALICANTE/ALACANT	03001
